File_name: Bag of terms: More than 1 length: Terms  in the termhood: eps: thd, value: thdr,%
TTerMine.txt: 1300:616: 159: 3.0: 24.588690988: 100
TT.txt: 4308:3356: 711: 3.610917913: 50.2819242551: 109.910435902
